ds,y,,,
01-01-2014,1076.650024,,,
02-01-2014,1083.5,,,
03-01-2014,1111.099976,,,
06-01-2014,1119.800049,,,
07-01-2014,1103.074951,,,
08-01-2014,1116.324951,,,
09-01-2014,1120.974976,,,
10-01-2014,1140.449951,,,
13-01-2014,1184.375,,,
14-01-2014,1163.375,,,
15-01-2014,1176.800049,,,
16-01-2014,1175.150024,,,
17-01-2014,1106.525024,,,
20-01-2014,1169.099976,,,
21-01-2014,1140.150024,,,
22-01-2014,1137.025024,,,
23-01-2014,1126.224976,,,
24-01-2014,1124.349976,,,
27-01-2014,1114.800049,,,
28-01-2014,1106.175049,,,
29-01-2014,1104.900024,,,
30-01-2014,1108.800049,,,
31-01-2014,1120.525024,,,
03-02-2014,1097.224976,,,
04-02-2014,1075.675049,,,
05-02-2014,1097.199951,,,
06-02-2014,1087.625,,,
07-02-2014,1072.199951,,,
10-02-2014,1046.775024,,,
11-02-2014,1050.849976,,,
12-02-2014,1052.724976,,,
13-02-2014,1066.875,,,
14-02-2014,1083.949951,,,
17-02-2014,1082.699951,,,
18-02-2014,1083,,,
19-02-2014,1098.974976,,,
20-02-2014,1094.675049,,,
21-02-2014,1102.849976,,,
24-02-2014,1088.949951,,,
25-02-2014,1094.449951,,,
26-02-2014,1091.074951,,,
28-02-2014,1137.875,,,
03-03-2014,1120.025024,,,
04-03-2014,1120.324951,,,
05-03-2014,1125.949951,,,
06-03-2014,1120.375,,,
07-03-2014,1114.25,,,
10-03-2014,1071.324951,,,
11-03-2014,1075.824951,,,
12-03-2014,1089.724976,,,
13-03-2014,1074.775024,,,
14-03-2014,1069.775024,,,
18-03-2014,1061,,,
19-03-2014,1019.700012,,,
20-03-2014,1054.099976,,,
21-03-2014,1063.5,,,
24-03-2014,1076.300049,,,
25-03-2014,1073.324951,,,
26-03-2014,1046.75,,,
27-03-2014,1047.125,,,
28-03-2014,1051.050049,,,
31-03-2014,1066.574951,,,
01-04-2014,1088.349976,,,
02-04-2014,1086.125,,,
03-04-2014,1083.25,,,
04-04-2014,1069.425049,,,
07-04-2014,1076.900024,,,
09-04-2014,1070.199951,,,
10-04-2014,1063.074951,,,
11-04-2014,1082.050049,,,
15-04-2014,1126.375,,,
16-04-2014,1098.150024,,,
17-04-2014,1111.449951,,,
21-04-2014,1110.875,,,
22-04-2014,1110.525024,,,
23-04-2014,1106.875,,,
24-04-2014,1106.875,,,
25-04-2014,1102.625,,,
28-04-2014,1095.675049,,,
29-04-2014,1097.125,,,
30-04-2014,1094.599976,,,
02-05-2014,1104.224976,,,
05-05-2014,1106.849976,,,
06-05-2014,1099.449951,,,
07-05-2014,1082.775024,,,
08-05-2014,1081.025024,,,
09-05-2014,1079.949951,,,
12-05-2014,1079.675049,,,
13-05-2014,1105.474976,,,
14-05-2014,1108.050049,,,
15-05-2014,1096.574951,,,
16-05-2014,1080.375,,,
19-05-2014,1018.349976,,,
20-05-2014,1034.099976,,,
21-05-2014,1041.425049,,,
22-05-2014,1055.974976,,,
23-05-2014,1063.949951,,,
26-05-2014,1077,,,
27-05-2014,1065.724976,,,
28-05-2014,1075.275024,,,
29-05-2014,1079.974976,,,
30-05-2014,1070.675049,,,
02-06-2014,1064.925049,,,
03-06-2014,1064.300049,,,
04-06-2014,1044.625,,,
05-06-2014,1052.074951,,,
06-06-2014,1042.125,,,
09-06-2014,1056.900024,,,
10-06-2014,1079.074951,,,
11-06-2014,1103.474976,,,
12-06-2014,1118.675049,,,
13-06-2014,1106.775024,,,
16-06-2014,1134.875,,,
17-06-2014,1139.925049,,,
18-06-2014,1113.525024,,,
19-06-2014,1138.025024,,,
20-06-2014,1146.199951,,,
23-06-2014,1134.425049,,,
24-06-2014,1154.525024,,,
25-06-2014,1155.275024,,,
26-06-2014,1153.824951,,,
27-06-2014,1199.775024,,,
30-06-2014,1212.699951,,,
01-07-2014,1195.375,,,
02-07-2014,1200.800049,,,
03-07-2014,1208.949951,,,
04-07-2014,1205.25,,,
07-07-2014,1244.275024,,,
08-07-2014,1224.724976,,,
09-07-2014,1199.074951,,,
10-07-2014,1175.900024,,,
11-07-2014,1197.224976,,,
14-07-2014,1213.125,,,
15-07-2014,1199.650024,,,
16-07-2014,1200.925049,,,
17-07-2014,1190.974976,,,
18-07-2014,1220.599976,,,
21-07-2014,1231.875,,,
22-07-2014,1266.199951,,,
23-07-2014,1293.074951,,,
24-07-2014,1297.599976,,,
25-07-2014,1302.875,,,
28-07-2014,1294.650024,,,
30-07-2014,1297.525024,,,
31-07-2014,1290.025024,,,
01-08-2014,1258.199951,,,
04-08-2014,1263.025024,,,
05-08-2014,1261.849976,,,
06-08-2014,1253.324951,,,
07-08-2014,1234.900024,,,
08-08-2014,1239.349976,,,
11-08-2014,1234.199951,,,
12-08-2014,1235.875,,,
13-08-2014,1250.025024,,,
14-08-2014,1249.875,,,
18-08-2014,1243.800049,,,
19-08-2014,1219.25,,,
20-08-2014,1218.099976,,,
21-08-2014,1216.224976,,,
22-08-2014,1232.099976,,,
25-08-2014,1261.025024,,,
26-08-2014,1266.900024,,,
27-08-2014,1274.974976,,,
28-08-2014,1261.175049,,,
01-09-2014,1268.574951,,,
02-09-2014,1268.949951,,,
03-09-2014,1303.199951,,,
04-09-2014,1292.375,,,
05-09-2014,1299.300049,,,
08-09-2014,1321.349976,,,
09-09-2014,1315.625,,,
10-09-2014,1300.074951,,,
11-09-2014,1299.175049,,,
12-09-2014,1303.800049,,,
15-09-2014,1279.150024,,,
16-09-2014,1275.425049,,,
17-09-2014,1295.599976,,,
18-09-2014,1321.150024,,,
19-09-2014,1357.099976,,,
22-09-2014,1360.900024,,,
23-09-2014,1344.099976,,,
24-09-2014,1321.5,,,
25-09-2014,1354.300049,,,
26-09-2014,1342,,,
29-09-2014,1383.974976,,,
30-09-2014,1368.300049,,,
01-10-2014,1387.800049,,,
07-10-2014,1365.675049,,,
08-10-2014,1341.599976,,,
